Date,Invoice,Product,"Customers  Dealer","Opening Balance","Quantity In","Quantity Out","Closing Balance"
06-05-2022,BS/0798/22-23,"LG ZU DIN65LH LIVGUARD","SANTANU ENTERPRISE",10,,1,9
06-05-2022,"SI NO 330","IT500 EXIDE","BATTERY STORE",66,,10,56
06-05-2022,"SI NO 330","LG IT 1584TT LIVGUARD","BATTERY STORE",87,,5,82
06-05-2022,"SI NO 330","LG IT 1554 TT LIVGUARD","BATTERY STORE",70,,2,68
06-05-2022,"SI NO 330","LG IT2360TT LIVGUARD","BATTERY STORE",264,,4,260
06-05-2022,"SI NO 330","LGLFF100L LIVGUARD","BATTERY STORE",367,,4,363
06-05-2022,"SI NO 330","LG ZP70D26R LIVGUARD","BATTERY STORE",61,,4,57
06-05-2022,"SI NO 330","LGMFO AR60L LIVGUARD","BATTERY STORE",118,,4,114
06-05-2022,"SI NO 330","LG ZX40B20R","BATTERY STORE",80,,4,76
06-05-2022,"SI NO 330","LG ZX40B20L","BATTERY STORE",69,,4,65
06-05-2022,"SI NO 330","LGS 1100 HUPS LIVGUARD","BATTERY STORE",64,,4,60
06-05-2022,"SI NO 330","LGS 900 HUPS LIVGUARD","BATTERY STORE",59,,4,55
06-05-2022,"SI NO 331","LUMINUAS-ZELIO PLUS 1100 S/W","BATTERY STORE",3,,4,-1
06-05-2022,"SI NO 331","GQP1050VA HUPS EXIDE","BATTERY STORE",15,,4,11
06-05-2022,"SI NO 331","LGZ HH TX 5LB LIVGUARD","BATTERY STORE",351,,12,339
06-05-2022,"SI NO 331","LG BTZ5 LIVGUARD","BATTERY STORE",254,,24,230
06-05-2022,"SI NO 331","LGZHHTZ4L LIVGUARD","BATTERY STORE",216,,48,168
06-05-2022,"SI NO 331","LG ZU DIN65LH LIVGUARD","BATTERY STORE",9,,2,7
06-05-2022,"SI NO 331","APPLE TROLLY","BATTERY STORE",113,,6,107
06-05-2022,"SI NO 332","[MICROTEK] 1075HB 24-7","BATTERY STORE",16,,4,12
06-05-2022,BS/0805/22-23,"HITACHI 312 HDEA",R.A.ENTERPRISE,2,,1,1
06-05-2022,BS/0797/22-23,"LGB0ERTUB2000L LIVGUARD","SAMANTA ENTERPRISE",2401,,100,2301
06-05-2022,BS/0797/22-23,"LIVPURE COOLER BRIO SUPERIOR 70L","SAMANTA ENTERPRISE",13,,3,10
06-05-2022,BS/0800/22-23,"IT500 EXIDE","ASWMI BATTERY HOUSE",56,,2,54
06-05-2022,BS/0800/22-23,"IMTT1500 EXIDE","ASWMI BATTERY HOUSE",5,,1,4
