"Product Name","Current Balance"
"LHZHHTZ5L[VRLA MC BATTERY]",150
"LG IT2672TT LIVGUARD",8
"LG IT1550TT LIVGUARD",25
LG-HUPS-SW-LGS900I/12V,39
HITACHI-318HFEOF,2
LG-HUPS-SQ-LG750I/12V,33
"APPLE DOUBLE TROLLY",15
LG-HUPS-SQ-LG1100I/12V,42
LG-HUPS-SQ-LG950I/12V,13
HITACHI-318HFDO,0
"6LMS-200L EXIDE BATTERY",0
"AKABISHI[RAY-AE 13VG]",1
"LIVGUARD-LGT12LGE12[VRLA UPS BATTERY]",72
"HITACHI AC-518HFEOZ1",1
"IMTT 2000 EXIDE BATTERY",0
"HITACHI AC 312 HFEOZ1",3
"HITACHI AC-318 HFEOZ1",0
"DAIKIN-AC-FTKY50UV16U3 1.5 T-INV",0
DAIKIN-AC-FTKM50UV16U,0
"RAY-AE 18VG 1.5 TON",1
"XLTX 14 EXIDE BATTERY",10
"SW LGS-1100I /12V",88
"LIV-ENVY-ALKALINE [RO+UV+UF+ALKALINE]",16
"LIV-PER PRO GRAND [RO+UV+MIN]",16
"LGLNHD 150R",36
"LIVPURE COOLER LIVCOOL SUPERIOR 60L",13
"LG IT2060TT LIVGUARD",37
"LG IT1860TT LIVGUARD",25
"LG IT2360TT LIVGUARD",119
"IT9048ST LIVGUARD",9
"EP26-12[26AH] VRLA BATTERY",0
"IMTT 2300 EXIDE BATTERY",0
"EP65-12[12.65AH]EXIDE VRLA BATTERY",0
"LIV-NEVY + RO+UV+UF WATER PURIFIER RED",1
"LIVPURE COOLER BREEZIO INTELLIGENT 75L",5
"LIVPURE COOLER  CHILL SUPERIOR 35L",0
"LIVPURE COOIER CHILL SUPERIOR 22L",11
EXIDE-EY105D31R,0
LGS2500/24V/SW,12
"HITACHI RAFG312HEDO",0
"RMRG 524HEEA",0
"RAPG 512HEEA.Z",1
"LIVPURE AIR COOLER SUPERIOR GOODAIR 52L",3
"LIVPURE PERSONAL AIR COOLER 35L",0
"LIVPURE COOIER BREEZIO ELECTRONIC 75L",5
"LIVPURE COOLER LIVFREE SUPERIOR 65L",2
"LIVPURE COOLER BRIO SUPERIOR 70L",11
"LIVPURE COOLER BREEZIO SUPERIOR 75L",0
6LMS100[EXIDE],0
LIV-ZINGER-HOT-HR[RO+UV+UF+MINERLISER],0
"LGS 4000/36V",5
LGLNFF130R,28
"LG ZX40B20L",104
"LG ZX40B20R",99
HITACHI-RAPG311HEEA,0
"HITACHI 318HEEA",0
"LGM12LGE07[VRLA UPS BATTERY]",452
ZU38B20BHL,3
"LIV 15A 12V SINGEL BATTERY CHARGER",17
"GLITZ PLUS [RO+UF]",5
"LIVPURE ENVY SHIELD [RO+UV+UF]",0
"EP 12-12 EXIDE",0
EXIDE-IT950,0
MS-GS18VF,0
"MICROTEK 24-7 HB 875",0
"MLDIN 60 EXIDE",0
"MTRED 45L",0
"MICROTEK 1435HB PCU",0
"[MICROTEK-1275HB 24-7",0
"[MICROTEK] 1075HB 24-7",2
ERTBPLUS-130L,0
LSBTA-165,0
"LUMINUAS-ZELIO PLUS 1100 S/W",0
"EXIDE 6LMS40L",0
"EXIDE 5.2KVA 48V",0
"LIVPURE GLITZ UV [STORAGE WATER PURIFER]",4
ML40RBH,7
"LIV BOLT PLUS COPPER[RO+UV+MINERALISER]",8
"EXIDE MLDIN50",2
"12BV5L-B EXIDE",0
"LG DO ER TU2500L LIVGUARD",267
"ECO VOLT NEO 850VA[LUMINOUS]",0
"ECO VOLT NEO 1550V[LUMINOUS]",0
"ECO VOLT NEO 1050VA [ LUMINOUS ]",0
"MAGIC 1500 24V [EXIDE]",2
"LIV-PLATINA-COPPER 2000[RO.UV.UF.MIN.TE",11
"HITACHI 318 HEDO",0
"EKO-40L EXIDE",0
"CS7-12 EXIDE",71
"EXIDE XLTZ 7",0
LGS-3000-SW/24V,12
"LGS-1600/12V SW",82
"EXIDE DIN 70[ISS]",0
"EXIDE EY 105D31L",0
"EXIDE EY 700L",0
"2KV 24V EXIDE UPS",1
"6EL 200",0
ML75D23LBH,0
"BATTERY STORE",0
LIVPURE-ZINGER-HR(RO+UV+UF+MINERALISER,3
"LIVPURE GLITZ SILVER",11
LIV-ZINGER-COPPER-HR2K(RO+UV+UF+MIN),13
LIV-BOLT-PLUS-COPPER(RO+UF+MINERALISER),5
LIV-BOLT-COPPER-HR(RO+UV+MINERALISER),3
"APPLE TROLLY",290
"MICROTEK 825E2 SW UPS",0
"MLDIN65LH EXIDE",0
XP1500,0
MLDIN44LH,0
MLDIN55R,0
"HITACHI 322HEDO",0
"SEBZ1100 MICROTEK",0
"SEBZ900 MICROTEK",0
"EB700 MICROTEK",0
"Premier HUPS P CabGTT Premium",0
"IPST1000 EXIDE",0
"12XL-14L-A2 EXIDE",5
"MICROTEK XP2300 SW UPS",0
